,href,name,id,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,https://api.spotify.com/v1/tracks/3jjQHULAVn71k40mKwGMiV,Juicebox,3jjQHULAVn71k40mKwGMiV,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0epOFNiUfyON9EYx7Tpr6V'}, 'href': 'https://api.spotify.com/v1/artists/0epOFNiUfyON9EYx7Tpr6V', 'id': '0epOFNiUfyON9EYx7Tpr6V', 'name': 'The Strokes', 'type': 'artist', 'uri': 'spotify:artist:0epOFNiUfyON9EYx7Tpr6V'}]",0.462,0.981,2,-2.371,0,0.127,0.00166,0.00894,0.0856,0.547,154.995,audio_features,spotify:track:3jjQHULAVn71k40mKwGMiV,https://api.spotify.com/v1/tracks/3jjQHULAVn71k40mKwGMiV,https://api.spotify.com/v1/audio-analysis/3jjQHULAVn71k40mKwGMiV,194573,4
1,https://api.spotify.com/v1/tracks/1aOxOpH4AkGAd8OMrKjyNY,Why Are Sundays So Depressing,1aOxOpH4AkGAd8OMrKjyNY,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0epOFNiUfyON9EYx7Tpr6V'}, 'href': 'https://api.spotify.com/v1/artists/0epOFNiUfyON9EYx7Tpr6V', 'id': '0epOFNiUfyON9EYx7Tpr6V', 'name': 'The Strokes', 'type': 'artist', 'uri': 'spotify:artist:0epOFNiUfyON9EYx7Tpr6V'}]",0.579,0.714,0,-4.455,1,0.0347,0.00258,0.0269,0.111,0.299,109.971,audio_features,spotify:track:1aOxOpH4AkGAd8OMrKjyNY,https://api.spotify.com/v1/tracks/1aOxOpH4AkGAd8OMrKjyNY,https://api.spotify.com/v1/audio-analysis/1aOxOpH4AkGAd8OMrKjyNY,275667,4
2,https://api.spotify.com/v1/tracks/0KzAbK6nItSqNh8q70tb0K,Where Is My Mind?,0KzAbK6nItSqNh8q70tb0K,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6zvul52xwTWzilBZl6BUbT'}, 'href': 'https://api.spotify.com/v1/artists/6zvul52xwTWzilBZl6BUbT', 'id': '6zvul52xwTWzilBZl6BUbT', 'name': 'Pixies', 'type': 'artist', 'uri': 'spotify:artist:6zvul52xwTWzilBZl6BUbT'}]",0.513,0.442,4,-13.529,1,0.0343,0.00731,0.000838,0.0878,0.243,81.201,audio_features,spotify:track:0KzAbK6nItSqNh8q70tb0K,https://api.spotify.com/v1/tracks/0KzAbK6nItSqNh8q70tb0K,https://api.spotify.com/v1/audio-analysis/0KzAbK6nItSqNh8q70tb0K,229227,4
3,https://api.spotify.com/v1/tracks/3NfqN997u9A3YAAafgzhIa,All I Think About Now,3NfqN997u9A3YAAafgzhIa,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6zvul52xwTWzilBZl6BUbT'}, 'href': 'https://api.spotify.com/v1/artists/6zvul52xwTWzilBZl6BUbT', 'id': '6zvul52xwTWzilBZl6BUbT', 'name': 'Pixies', 'type': 'artist', 'uri': 'spotify:artist:6zvul52xwTWzilBZl6BUbT'}]",0.251,0.575,8,-7.819,1,0.0311,0.00405,0.00135,0.15,0.218,185.731,audio_features,spotify:track:3NfqN997u9A3YAAafgzhIa,https://api.spotify.com/v1/tracks/3NfqN997u9A3YAAafgzhIa,https://api.spotify.com/v1/audio-analysis/3NfqN997u9A3YAAafgzhIa,187320,4
4,https://api.spotify.com/v1/tracks/5ruzrDWcT0vuJIOMW7gMnW,The Adults Are Talking,5ruzrDWcT0vuJIOMW7gMnW,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0epOFNiUfyON9EYx7Tpr6V'}, 'href': 'https://api.spotify.com/v1/artists/0epOFNiUfyON9EYx7Tpr6V', 'id': '0epOFNiUfyON9EYx7Tpr6V', 'name': 'The Strokes', 'type': 'artist', 'uri': 'spotify:artist:0epOFNiUfyON9EYx7Tpr6V'}]",0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,audio_features,spotify:track:5ruzrDWcT0vuJIOMW7gMnW,https://api.spotify.com/v1/tracks/5ruzrDWcT0vuJIOMW7gMnW,https://api.spotify.com/v1/audio-analysis/5ruzrDWcT0vuJIOMW7gMnW,309053,4
5,https://api.spotify.com/v1/tracks/4fPBB44eDH71YohayI4eKV,You Only Live Once,4fPBB44eDH71YohayI4eKV,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0epOFNiUfyON9EYx7Tpr6V'}, 'href': 'https://api.spotify.com/v1/artists/0epOFNiUfyON9EYx7Tpr6V', 'id': '0epOFNiUfyON9EYx7Tpr6V', 'name': 'The Strokes', 'type': 'artist', 'uri': 'spotify:artist:0epOFNiUfyON9EYx7Tpr6V'}]",0.63,0.908,11,-2.42,1,0.0326,0.0238,0.592,0.116,0.968,120.522,audio_features,spotify:track:4fPBB44eDH71YohayI4eKV,https://api.spotify.com/v1/tracks/4fPBB44eDH71YohayI4eKV,https://api.spotify.com/v1/audio-analysis/4fPBB44eDH71YohayI4eKV,189227,4
6,https://api.spotify.com/v1/tracks/3LGsgpx4TfxhXbr07OFKqs,Oblivion,3LGsgpx4TfxhXbr07OFKqs,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/053q0ukIDRgzwTr4vNSwab'}, 'href': 'https://api.spotify.com/v1/artists/053q0ukIDRgzwTr4vNSwab', 'id': '053q0ukIDRgzwTr4vNSwab', 'name': 'Grimes', 'type': 'artist', 'uri': 'spotify:artist:053q0ukIDRgzwTr4vNSwab'}]",0.697,0.529,2,-8.838,1,0.0338,0.115,0.896,0.0895,0.486,155.974,audio_features,spotify:track:3LGsgpx4TfxhXbr07OFKqs,https://api.spotify.com/v1/tracks/3LGsgpx4TfxhXbr07OFKqs,https://api.spotify.com/v1/audio-analysis/3LGsgpx4TfxhXbr07OFKqs,251267,4
7,https://api.spotify.com/v1/tracks/6K4t31amVTZDgR3sKmwUJJ,The Less I Know The Better,6K4t31amVTZDgR3sKmwUJJ,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5INjqkS1o8h1imAzPqGZBb'}, 'href': 'https://api.spotify.com/v1/artists/5INjqkS1o8h1imAzPqGZBb', 'id': '5INjqkS1o8h1imAzPqGZBb', 'name': 'Tame Impala', 'type': 'artist', 'uri': 'spotify:artist:5INjqkS1o8h1imAzPqGZBb'}]",0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,audio_features,spotify:track:6K4t31amVTZDgR3sKmwUJJ,https://api.spotify.com/v1/tracks/6K4t31amVTZDgR3sKmwUJJ,https://api.spotify.com/v1/audio-analysis/6K4t31amVTZDgR3sKmwUJJ,216320,4
8,https://api.spotify.com/v1/tracks/0yc6Gst2xkRu0eMLeRMGCX,Apocalypse,0yc6Gst2xkRu0eMLeRMGCX,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1QAJqy2dA3ihHBFIHRphZj'}, 'href': 'https://api.spotify.com/v1/artists/1QAJqy2dA3ihHBFIHRphZj', 'id': '1QAJqy2dA3ihHBFIHRphZj', 'name': 'Cigarettes After Sex', 'type': 'artist', 'uri': 'spotify:artist:1QAJqy2dA3ihHBFIHRphZj'}]",0.369,0.468,5,-9.013,1,0.0273,0.0205,0.566,0.109,0.18,94.434,audio_features,spotify:track:0yc6Gst2xkRu0eMLeRMGCX,https://api.spotify.com/v1/tracks/0yc6Gst2xkRu0eMLeRMGCX,https://api.spotify.com/v1/audio-analysis/0yc6Gst2xkRu0eMLeRMGCX,290617,4
9,https://api.spotify.com/v1/tracks/58ge6dfP91o9oXMzq3XkIS,505,58ge6dfP91o9oXMzq3XkIS,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH'}, 'href': 'https://api.spotify.com/v1/artists/7Ln80lUS6He07XvHI8qqHH', 'id': '7Ln80lUS6He07XvHI8qqHH', 'name': 'Arctic Monkeys', 'type': 'artist', 'uri': 'spotify:artist:7Ln80lUS6He07XvHI8qqHH'}]",0.52,0.852,0,-5.866,1,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267,audio_features,spotify:track:58ge6dfP91o9oXMzq3XkIS,https://api.spotify.com/v1/tracks/58ge6dfP91o9oXMzq3XkIS,https://api.spotify.com/v1/audio-analysis/58ge6dfP91o9oXMzq3XkIS,253587,4
10,https://api.spotify.com/v1/tracks/5hM5arv9KDbCHS0k9uqwjr,Borderline,5hM5arv9KDbCHS0k9uqwjr,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5INjqkS1o8h1imAzPqGZBb'}, 'href': 'https://api.spotify.com/v1/artists/5INjqkS1o8h1imAzPqGZBb', 'id': '5INjqkS1o8h1imAzPqGZBb', 'name': 'Tame Impala', 'type': 'artist', 'uri': 'spotify:artist:5INjqkS1o8h1imAzPqGZBb'}]",0.621,0.873,5,-3.067,0,0.0369,0.0406,9.1e-06,0.0824,0.873,97.96,audio_features,spotify:track:5hM5arv9KDbCHS0k9uqwjr,https://api.spotify.com/v1/tracks/5hM5arv9KDbCHS0k9uqwjr,https://api.spotify.com/v1/audio-analysis/5hM5arv9KDbCHS0k9uqwjr,237800,4
