,preview_url,external_urls,href,name,id,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,,{'spotify': 'https://open.spotify.com/track/1UGD3lW3tDmgZfAVDh6w7r'},https://api.spotify.com/v1/tracks/1UGD3lW3tDmgZfAVDh6w7r,Devil In A New Dress,1UGD3lW3tDmgZfAVDh6w7r,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'}, 'href': 'https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x', 'id': '5K4W6rqBFWDnAN6FQUkS6x', 'name': 'Kanye West', 'type': 'artist', 'uri': 'spotify:artist:5K4W6rqBFWDnAN6FQUkS6x'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1sBkRIssrMs1AbVkOJbc7a'}, 'href': 'https://api.spotify.com/v1/artists/1sBkRIssrMs1AbVkOJbc7a', 'id': '1sBkRIssrMs1AbVkOJbc7a', 'name': 'Rick Ross', 'type': 'artist', 'uri': 'spotify:artist:1sBkRIssrMs1AbVkOJbc7a'}]",0.435,0.76,8,-4.935,0,0.0721,0.0175,0,0.158,0.206,80.082,audio_features,1UGD3lW3tDmgZfAVDh6w7r,spotify:track:1UGD3lW3tDmgZfAVDh6w7r,https://api.spotify.com/v1/tracks/1UGD3lW3tDmgZfAVDh6w7r,https://api.spotify.com/v1/audio-analysis/1UGD3lW3tDmgZfAVDh6w7r,351947,4,
1,,{'spotify': 'https://open.spotify.com/track/3DK6m7It6Pw857FcQftMds'},https://api.spotify.com/v1/tracks/3DK6m7It6Pw857FcQftMds,Runaway,3DK6m7It6Pw857FcQftMds,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'}, 'href': 'https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x', 'id': '5K4W6rqBFWDnAN6FQUkS6x', 'name': 'Kanye West', 'type': 'artist', 'uri': 'spotify:artist:5K4W6rqBFWDnAN6FQUkS6x'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0ONHkAv9pCAFxb0zJwDNTy'}, 'href': 'https://api.spotify.com/v1/artists/0ONHkAv9pCAFxb0zJwDNTy', 'id': '0ONHkAv9pCAFxb0zJwDNTy', 'name': 'Pusha T', 'type': 'artist', 'uri': 'spotify:artist:0ONHkAv9pCAFxb0zJwDNTy'}]",0.374,0.568,1,-3.825,0,0.109,0.219,0.00219,0.513,0.111,84.733,audio_features,3DK6m7It6Pw857FcQftMds,spotify:track:3DK6m7It6Pw857FcQftMds,https://api.spotify.com/v1/tracks/3DK6m7It6Pw857FcQftMds,https://api.spotify.com/v1/audio-analysis/3DK6m7It6Pw857FcQftMds,547733,4,
2,,{'spotify': 'https://open.spotify.com/track/22L7bfCiAkJo5xGSQgmiIO'},https://api.spotify.com/v1/tracks/22L7bfCiAkJo5xGSQgmiIO,All Of The Lights,22L7bfCiAkJo5xGSQgmiIO,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'}, 'href': 'https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x', 'id': '5K4W6rqBFWDnAN6FQUkS6x', 'name': 'Kanye West', 'type': 'artist', 'uri': 'spotify:artist:5K4W6rqBFWDnAN6FQUkS6x'}]",0.531,0.803,1,-3.284,1,0.0717,0.0796,1.71e-05,0.176,0.221,142.113,audio_features,22L7bfCiAkJo5xGSQgmiIO,spotify:track:22L7bfCiAkJo5xGSQgmiIO,https://api.spotify.com/v1/tracks/22L7bfCiAkJo5xGSQgmiIO,https://api.spotify.com/v1/audio-analysis/22L7bfCiAkJo5xGSQgmiIO,299613,4,
3,,{'spotify': 'https://open.spotify.com/track/0IW0qaeyxL5Et4UG2MrJKB'},https://api.spotify.com/v1/tracks/0IW0qaeyxL5Et4UG2MrJKB,We Don't Care,0IW0qaeyxL5Et4UG2MrJKB,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'}, 'href': 'https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x', 'id': '5K4W6rqBFWDnAN6FQUkS6x', 'name': 'Kanye West', 'type': 'artist', 'uri': 'spotify:artist:5K4W6rqBFWDnAN6FQUkS6x'}]",0.595,0.754,11,-5.827,0,0.181,0.0142,0,0.247,0.647,83.155,audio_features,0IW0qaeyxL5Et4UG2MrJKB,spotify:track:0IW0qaeyxL5Et4UG2MrJKB,https://api.spotify.com/v1/tracks/0IW0qaeyxL5Et4UG2MrJKB,https://api.spotify.com/v1/audio-analysis/0IW0qaeyxL5Et4UG2MrJKB,239880,4,
4,,{'spotify': 'https://open.spotify.com/track/5SkRLpaGtvYPhw02vZhQQ9'},https://api.spotify.com/v1/tracks/5SkRLpaGtvYPhw02vZhQQ9,All Falls Down,5SkRLpaGtvYPhw02vZhQQ9,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'}, 'href': 'https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x', 'id': '5K4W6rqBFWDnAN6FQUkS6x', 'name': 'Kanye West', 'type': 'artist', 'uri': 'spotify:artist:5K4W6rqBFWDnAN6FQUkS6x'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1lE6SEy8f84Zhjvp7r8yTD'}, 'href': 'https://api.spotify.com/v1/artists/1lE6SEy8f84Zhjvp7r8yTD', 'id': '1lE6SEy8f84Zhjvp7r8yTD', 'name': 'Syleena Johnson', 'type': 'artist', 'uri': 'spotify:artist:1lE6SEy8f84Zhjvp7r8yTD'}]",0.657,0.734,8,-4.832,0,0.484,0.149,0,0.139,0.434,91.03,audio_features,5SkRLpaGtvYPhw02vZhQQ9,spotify:track:5SkRLpaGtvYPhw02vZhQQ9,https://api.spotify.com/v1/tracks/5SkRLpaGtvYPhw02vZhQQ9,https://api.spotify.com/v1/audio-analysis/5SkRLpaGtvYPhw02vZhQQ9,223507,4,
5,,{'spotify': 'https://open.spotify.com/track/1ko2NuvWlQdxtNRc8QQzmT'},https://api.spotify.com/v1/tracks/1ko2NuvWlQdxtNRc8QQzmT,Spaceship,1ko2NuvWlQdxtNRc8QQzmT,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'}, 'href': 'https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x', 'id': '5K4W6rqBFWDnAN6FQUkS6x', 'name': 'Kanye West', 'type': 'artist', 'uri': 'spotify:artist:5K4W6rqBFWDnAN6FQUkS6x'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2hZ6jVi1cao5VlJHAEPzU7'}, 'href': 'https://api.spotify.com/v1/artists/2hZ6jVi1cao5VlJHAEPzU7', 'id': '2hZ6jVi1cao5VlJHAEPzU7', 'name': 'GLC', 'type': 'artist', 'uri': 'spotify:artist:2hZ6jVi1cao5VlJHAEPzU7'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5KkgZ31b9eDwkvo9oMIrSm'}, 'href': 'https://api.spotify.com/v1/artists/5KkgZ31b9eDwkvo9oMIrSm', 'id': '5KkgZ31b9eDwkvo9oMIrSm', 'name': 'Consequence', 'type': 'artist', 'uri': 'spotify:artist:5KkgZ31b9eDwkvo9oMIrSm'}]",0.507,0.753,5,-5.31,0,0.19,0.503,0,0.573,0.657,178.068,audio_features,1ko2NuvWlQdxtNRc8QQzmT,spotify:track:1ko2NuvWlQdxtNRc8QQzmT,https://api.spotify.com/v1/tracks/1ko2NuvWlQdxtNRc8QQzmT,https://api.spotify.com/v1/audio-analysis/1ko2NuvWlQdxtNRc8QQzmT,324227,3,
6,,{'spotify': 'https://open.spotify.com/track/3A4cpTBPaIQdtPFb5JxtaX'},https://api.spotify.com/v1/tracks/3A4cpTBPaIQdtPFb5JxtaX,Slow Jamz,3A4cpTBPaIQdtPFb5JxtaX,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6vbY3hOaCAhC7VjucswgdS'}, 'href': 'https://api.spotify.com/v1/artists/6vbY3hOaCAhC7VjucswgdS', 'id': '6vbY3hOaCAhC7VjucswgdS', 'name': 'Twista', 'type': 'artist', 'uri': 'spotify:artist:6vbY3hOaCAhC7VjucswgdS'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'}, 'href': 'https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x', 'id': '5K4W6rqBFWDnAN6FQUkS6x', 'name': 'Kanye West', 'type': 'artist', 'uri': 'spotify:artist:5K4W6rqBFWDnAN6FQUkS6x'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7LnaAXbDVIL75IVPnndf7w'}, 'href': 'https://api.spotify.com/v1/artists/7LnaAXbDVIL75IVPnndf7w', 'id': '7LnaAXbDVIL75IVPnndf7w', 'name': 'Jamie Foxx', 'type': 'artist', 'uri': 'spotify:artist:7LnaAXbDVIL75IVPnndf7w'}]",0.559,0.733,2,-5.659,0,0.171,0.314,0,0.284,0.611,145.115,audio_features,3A4cpTBPaIQdtPFb5JxtaX,spotify:track:3A4cpTBPaIQdtPFb5JxtaX,https://api.spotify.com/v1/tracks/3A4cpTBPaIQdtPFb5JxtaX,https://api.spotify.com/v1/audio-analysis/3A4cpTBPaIQdtPFb5JxtaX,316053,4,
7,,{'spotify': 'https://open.spotify.com/track/2dxjKgT0li4qBI3QwuN9Ih'},https://api.spotify.com/v1/tracks/2dxjKgT0li4qBI3QwuN9Ih,Touch The Sky,2dxjKgT0li4qBI3QwuN9Ih,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'}, 'href': 'https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x', 'id': '5K4W6rqBFWDnAN6FQUkS6x', 'name': 'Kanye West', 'type': 'artist', 'uri': 'spotify:artist:5K4W6rqBFWDnAN6FQUkS6x'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/01QTIT5P1pFP3QnnFSdsJf'}, 'href': 'https://api.spotify.com/v1/artists/01QTIT5P1pFP3QnnFSdsJf', 'id': '01QTIT5P1pFP3QnnFSdsJf', 'name': 'Lupe Fiasco', 'type': 'artist', 'uri': 'spotify:artist:01QTIT5P1pFP3QnnFSdsJf'}]",0.552,0.846,9,-4.912,1,0.342,0.0114,0,0.309,0.554,98.56,audio_features,2dxjKgT0li4qBI3QwuN9Ih,spotify:track:2dxjKgT0li4qBI3QwuN9Ih,https://api.spotify.com/v1/tracks/2dxjKgT0li4qBI3QwuN9Ih,https://api.spotify.com/v1/audio-analysis/2dxjKgT0li4qBI3QwuN9Ih,236600,1,
8,,{'spotify': 'https://open.spotify.com/track/46OFHBw45fNi7QNjSetITR'},https://api.spotify.com/v1/tracks/46OFHBw45fNi7QNjSetITR,Hey Mama,46OFHBw45fNi7QNjSetITR,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'}, 'href': 'https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x', 'id': '5K4W6rqBFWDnAN6FQUkS6x', 'name': 'Kanye West', 'type': 'artist', 'uri': 'spotify:artist:5K4W6rqBFWDnAN6FQUkS6x'}]",0.583,0.754,7,-6.993,1,0.223,0.0593,0,0.113,0.347,95.784,audio_features,46OFHBw45fNi7QNjSetITR,spotify:track:46OFHBw45fNi7QNjSetITR,https://api.spotify.com/v1/tracks/46OFHBw45fNi7QNjSetITR,https://api.spotify.com/v1/audio-analysis/46OFHBw45fNi7QNjSetITR,305067,4,
9,,{'spotify': 'https://open.spotify.com/track/5RjbFGeWVsCpw8EcE8OrvZ'},https://api.spotify.com/v1/tracks/5RjbFGeWVsCpw8EcE8OrvZ,Gone,5RjbFGeWVsCpw8EcE8OrvZ,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'}, 'href': 'https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x', 'id': '5K4W6rqBFWDnAN6FQUkS6x', 'name': 'Kanye West', 'type': 'artist', 'uri': 'spotify:artist:5K4W6rqBFWDnAN6FQUkS6x'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5KkgZ31b9eDwkvo9oMIrSm'}, 'href': 'https://api.spotify.com/v1/artists/5KkgZ31b9eDwkvo9oMIrSm', 'id': '5KkgZ31b9eDwkvo9oMIrSm', 'name': 'Consequence', 'type': 'artist', 'uri': 'spotify:artist:5KkgZ31b9eDwkvo9oMIrSm'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7iMvwE8qANp3aIfAGKEAwS'}, 'href': 'https://api.spotify.com/v1/artists/7iMvwE8qANp3aIfAGKEAwS', 'id': '7iMvwE8qANp3aIfAGKEAwS', 'name': ""Cam'ron"", 'type': 'artist', 'uri': 'spotify:artist:7iMvwE8qANp3aIfAGKEAwS'}]",0.842,0.668,1,-6.043,1,0.26,0.015,0,0.0699,0.345,92.703,audio_features,5RjbFGeWVsCpw8EcE8OrvZ,spotify:track:5RjbFGeWVsCpw8EcE8OrvZ,https://api.spotify.com/v1/tracks/5RjbFGeWVsCpw8EcE8OrvZ,https://api.spotify.com/v1/audio-analysis/5RjbFGeWVsCpw8EcE8OrvZ,333293,4,
